WGTP,PWGTP,HINCP,PINCP,OCPIP,TAXAMT,RNTP,AGEP,GRPIP,TEN,SEX,RACAIAN,RACASN,RACWHT,RACBLK,PUMA,ST,PUMA_NAME
237,237,120960,12000,16,4350,0,58,0,1,2,0,0,1,0,01500,37,Chatham & Lee Counties
237,273,120960,60000,16,4350,0,58,0,1,1,0,0,1,0,01500,37,Chatham & Lee Counties
237,297,120960,48000,16,4350,0,22,0,1,1,0,0,1,0,01500,37,Chatham & Lee Counties
237,298,120960,960,16,4350,0,19,0,1,1,0,0,1,0,01500,37,Chatham & Lee Counties
237,316,120960,0,16,4350,0,16,0,1,2,0,0,1,0,01500,37,Chatham & Lee Counties
188,187,95300,56500,14,2550,0,64,0,1,2,0,0,1,0,01500,37,Chatham & Lee Counties
188,215,95300,38800,14,2550,0,64,0,1,1,0,0,1,0,01500,37,Chatham & Lee Counties
57,56,74000,27000,0,-1,930,33,18,3,1,0,0,0,1,01500,37,Chatham & Lee Counties
57,60,74000,40000,0,-1,930,42,18,3,2,0,0,0,1,01500,37,Chatham & Lee Counties
57,77,74000,7000,0,-1,930,30,18,3,1,0,0,0,1,01500,37,Chatham & Lee Counties
179,179,75200,35200,10,1050,0,44,0,1,2,0,0,0,0,01500,37,Chatham & Lee Counties
179,158,75200,-19999,10,1050,0,4,0,1,1,0,0,0,0,01500,37,Chatham & Lee Counties
179,109,75200,-19999,10,1050,0,10,0,1,2,0,0,0,0,01500,37,Chatham & Lee Counties
179,149,75200,40000,10,1050,0,29,0,1,1,0,0,0,0,01500,37,Chatham & Lee Counties
179,161,75200,-19999,10,1050,0,4,0,1,2,0,0,0,0,01500,37,Chatham & Lee Counties
81,82,19400,11500,58,0,0,82,0,1,1,0,0,1,0,01500,37,Chatham & Lee Counties
81,97,19400,7900,58,0,0,77,0,1,2,0,0,1,0,01500,37,Chatham & Lee Counties
84,85,21500,9000,45,0,0,66,0,1,1,0,0,1,0,01500,37,Chatham & Lee Counties
84,70,21500,12500,45,0,0,71,0,1,2,0,0,1,0,01500,37,Chatham & Lee Counties
93,93,2800,2800,101,1250,0,85,0,2,2,0,0,1,0,01500,37,Chatham & Lee Counties
79,79,78000,40300,19,2850,0,45,0,1,2,0,0,1,0,01500,37,Chatham & Lee Counties
79,106,78000,37700,19,2850,0,47,0,1,1,0,0,1,0,01500,37,Chatham & Lee Counties
21,22,17700,17700,35,2050,0,75,0,2,2,0,0,1,0,01500,37,Chatham & Lee Counties
42,42,203510,25150,0,-1,900,76,7,3,1,0,0,1,0,01500,37,Chatham & Lee Counties
42,60,203510,22650,0,-1,900,73,7,3,2,0,0,1,0,01500,37,Chatham & Lee Counties
42,45,203510,55650,0,-1,900,76,7,3,1,0,0,1,0,01500,37,Chatham & Lee Counties
42,64,203510,50030,0,-1,900,74,7,3,2,0,0,1,0,01500,37,Chatham & Lee Counties
42,64,203510,50030,0,-1,900,74,7,3,2,0,0,1,0,01500,37,Chatham & Lee Counties
54,54,36000,36000,29,1050,0,46,0,1,2,0,0,1,0,01500,37,Chatham & Lee Counties
54,52,36000,0,29,1050,0,18,0,1,1,0,0,1,0,01500,37,Chatham & Lee Counties
83,83,73000,26800,9,825,0,60,0,1,2,0,0,1,0,01500,37,Chatham & Lee Counties
83,86,73000,46200,9,825,0,61,0,1,1,0,0,1,0,01500,37,Chatham & Lee Counties
105,106,13000,13000,0,-1,630,20,80,3,2,0,0,1,0,01500,37,Chatham & Lee Counties
